interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,-1.00,13.23,14.60,14.58,0.71,0.65,7.78,3.78,13.60,-1.00,16.55,16.43,0.87,0.59,2.87,15.99
1,-1.00,12.75,14.78,14.32,1.44,0.33,9.75,0.75,13.90,-1.00,16.86,16.57,0.79,0.36,1.80,13.62
2,-1.00,12.96,14.39,15.76,-1.00,0.31,10.81,1.02,13.58,-1.00,16.89,16.01,1.49,0.96,9.36,8.86
3,-1.00,13.55,13.24,15.46,1.22,0.62,2.48,2.83,13.74,-1.00,16.67,15.68,0.40,0.29,1.53,16.88
4,-1.00,13.47,14.05,14.56,0.25,0.32,1.55,0.71,13.08,-1.00,16.49,17.53,0.67,0.34,14.62,14.95
5,-1.00,14.78,13.35,14.36,0.84,1.20,0.91,3.28,13.58,-1.00,17.11,17.98,0.32,0.28,14.49,14.08
6,-1.00,14.84,15.21,14.05,0.79,0.45,1.61,8.17,10.91,-1.00,17.65,16.25,0.44,0.55,14.24,1.30
