interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.00,0.99,1.29,1.37,3.63,1.23,5.35,8.90,2.05,0.00,1.07,1.22,19.36,39.20,14.02,1.18
1,0.00,1.56,0.78,1.62,0.43,35.80,4.11,46.42,1.21,0.00,1.85,1.36,26.14,59.22,18.96,2.42
2,0.00,1.72,2.25,0.34,0.00,20.60,2.31,23.55,2.59,0.00,2.31,1.38,6.40,27.51,1.12,2.65
3,0.00,0.80,1.39,0.52,6.68,5.96,18.45,11.69,1.13,0.00,1.57,1.18,22.84,66.26,13.58,1.03
4,0.00,1.27,1.04,1.99,15.02,30.79,20.42,34.77,2.24,0.00,0.74,0.84,37.13,65.51,0.56,1.63
5,0.00,0.89,2.93,2.90,15.82,1.21,36.92,6.37,1.63,0.00,0.63,0.49,60.52,69.70,1.48,1.51
6,0.00,0.31,1.07,0.40,18.33,1.40,36.22,7.37,2.81,0.00,0.21,0.54,60.35,65.83,1.22,14.09
