interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.00,0.00,0.00,0.00,77.60,19.69,32.80,161.07,0.00,0.00,0.00,0.00,618.43,1403.29,299.90,0.00
1,0.00,0.00,0.00,0.00,0.00,1247.22,6.40,1371.88,0.00,0.00,0.00,0.00,761.68,2172.81,433.20,0.00
2,0.00,0.00,0.00,0.00,0.00,766.51,0.00,758.23,0.00,0.00,0.00,0.00,167.19,777.38,5.12,16.35
3,0.00,0.00,0.00,0.00,101.45,122.35,348.10,142.17,0.00,0.00,0.00,0.00,851.18,2503.92,355.35,0.00
4,0.00,0.00,0.00,0.00,405.67,1055.17,519.18,1016.68,0.00,0.00,0.00,0.00,1220.65,2263.87,0.00,0.00
5,0.00,0.00,0.00,0.00,417.81,14.29,995.93,104.95,0.00,0.00,0.00,0.00,2160.06,2595.71,0.00,0.00
6,0.00,0.00,0.00,0.00,113.46,8.11,233.78,4.88,0.00,0.00,0.00,0.00,607.21,568.04,0.00,92.30
