interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.00,0.00,0.00,0.00,16.00,4.00,4.00,16.00,0.00,0.00,0.00,0.00,143.00,297.00,47.00,0.00
1,0.00,0.00,0.00,0.00,2.00,147.00,0.00,292.00,0.00,0.00,0.00,0.00,151.00,399.00,73.00,0.00
2,0.00,0.00,0.00,0.00,0.00,88.00,0.00,105.00,0.00,0.00,0.00,0.00,37.00,153.00,16.00,6.00
3,0.00,0.00,0.00,0.00,31.00,45.00,56.00,37.00,0.00,0.00,0.00,0.00,167.00,533.00,87.00,0.00
4,0.00,0.00,0.00,0.00,101.00,136.00,142.00,266.00,0.00,0.00,0.00,0.00,262.00,503.00,0.00,0.00
5,0.00,0.00,0.00,0.00,116.00,5.00,223.00,43.00,0.00,0.00,0.00,0.00,384.00,556.00,0.00,0.00
6,0.00,0.00,0.00,0.00,25.00,7.00,90.00,0.00,0.00,0.00,0.00,0.00,211.00,171.00,0.00,31.00
