interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0,7,9,9,2,2,17,19,11,0,10,9,9,13,13,8
1,0,11,8,12,2,12,18,22,10,0,15,10,12,11,16,17
2,0,13,15,3,0,3,13,10,16,0,15,7,10,13,7,12
3,0,7,9,8,6,7,25,22,7,0,8,8,4,10,13,8
4,0,10,7,13,4,8,21,19,15,0,9,6,13,11,5,11
5,0,6,16,18,8,2,18,12,11,0,6,5,10,10,9,11
6,0,1,2,1,2,2,9,9,4,0,2,1,4,3,3,3
