interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.00,55.13,70.00,70.00,70.00,50.00,70.00,70.00,70.00,0.00,70.00,70.00,70.00,74.99,70.00,70.00
1,0.00,70.00,58.96,70.00,57.11,70.00,70.00,74.99,70.00,0.00,70.00,70.00,70.00,74.99,70.00,64.61
2,0.00,70.00,70.00,37.87,0.00,70.00,70.00,70.00,70.00,0.00,70.00,70.00,69.99,74.97,57.83,70.00
3,0.00,53.91,70.00,70.00,70.00,70.00,74.63,74.90,70.00,0.00,70.00,50.00,70.00,74.99,70.00,65.33
4,0.00,70.00,70.00,70.00,70.00,70.00,70.00,74.55,70.00,0.00,65.57,70.00,74.99,74.99,64.00,70.00
5,0.00,70.00,70.00,70.00,70.00,50.00,74.68,74.53,70.00,0.00,57.51,56.05,74.99,74.99,70.00,70.00
6,0.00,25.82,70.00,33.08,70.00,30.16,70.00,70.00,70.00,0.00,16.82,45.16,74.99,70.00,50.00,64.36
