interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.00,0.00,0.00,0.00,3.00,3.00,4.00,4.00,0.00,0.00,0.00,0.00,4.00,6.00,3.00,0.00
1,0.00,0.00,0.00,0.00,2.00,14.00,2.00,17.00,0.00,0.00,0.00,0.00,8.00,8.00,7.00,0.00
2,0.00,0.00,0.00,0.00,0.00,2.00,0.00,3.00,0.00,0.00,0.00,0.00,3.00,7.00,0.00,1.00
3,0.00,0.00,0.00,0.00,8.00,11.00,12.00,13.00,0.00,0.00,0.00,0.00,3.00,8.00,4.00,0.00
4,0.00,0.00,0.00,0.00,4.00,10.00,8.00,12.00,0.00,0.00,0.00,0.00,6.00,11.00,0.00,0.00
5,0.00,0.00,0.00,0.00,11.00,3.00,12.00,2.00,0.00,0.00,0.00,0.00,9.00,8.00,0.00,0.00
6,0.00,0.00,0.00,0.00,3.00,2.00,5.00,2.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,1.00
