interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.00,0.05,0.07,0.06,0.08,0.07,0.17,0.31,0.07,0.00,0.07,0.06,0.59,1.16,0.28,0.05
1,0.00,0.09,0.06,0.08,0.02,1.21,0.15,1.29,0.07,0.00,0.10,0.07,0.82,1.74,0.52,0.12
2,0.00,0.10,0.10,0.02,0.00,0.63,0.11,0.60,0.11,0.00,0.10,0.05,0.36,0.69,0.06,0.12
3,0.00,0.05,0.06,0.05,0.18,0.24,0.54,0.42,0.05,0.00,0.05,0.05,0.66,1.93,0.51,0.05
4,0.00,0.08,0.05,0.09,0.37,0.96,0.68,1.11,0.11,0.00,0.05,0.04,1.06,1.71,0.04,0.07
5,0.00,0.04,0.11,0.12,0.44,0.04,0.86,0.23,0.09,0.00,0.04,0.03,1.61,1.94,0.06,0.08
6,0.00,0.02,0.06,0.04,0.36,0.11,0.93,0.27,0.12,0.00,0.05,0.02,1.90,1.47,0.06,0.47
