interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,-1.00,0.37,0.27,0.21,10.23,9.34,1.17,3.13,0.33,-1.00,0.09,0.03,17.72,25.00,4.76,0.10
1,-1.00,0.30,0.13,0.25,2.48,29.08,0.75,16.21,0.30,-1.00,0.08,0.07,18.81,41.64,8.01,0.26
2,-1.00,0.34,0.21,0.05,-1.00,36.57,0.63,14.54,0.32,-1.00,0.10,0.07,8.97,14.23,0.77,0.94
3,-1.00,0.32,0.30,0.14,7.70,9.43,4.85,4.04,0.29,-1.00,0.09,0.03,31.38,46.60,9.91,0.04
4,-1.00,0.30,0.26,0.24,21.68,30.90,7.73,15.26,0.29,-1.00,0.09,0.06,22.47,37.67,0.23,0.15
5,-1.00,0.18,0.30,0.21,13.60,4.64,11.46,3.44,0.33,-1.00,0.02,0.07,42.37,46.73,0.23,0.23
6,-1.00,0.11,0.25,0.13,9.11,4.09,6.38,0.91,0.64,-1.00,0.07,0.30,25.11,22.84,0.18,11.08
