interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.00,0.00,0.00,0.00,13.00,2.00,4.00,16.00,0.00,0.00,0.00,0.00,65.00,65.00,23.00,0.00
1,0.00,0.00,0.00,0.00,1.00,53.00,0.00,56.00,0.00,0.00,0.00,0.00,67.00,66.00,36.00,0.00
2,0.00,0.00,0.00,0.00,0.00,54.00,0.00,56.00,0.00,0.00,0.00,0.00,25.00,48.00,4.00,6.00
3,0.00,0.00,0.00,0.00,18.00,20.00,27.00,24.00,0.00,0.00,0.00,0.00,67.00,67.00,54.00,0.00
4,0.00,0.00,0.00,0.00,49.00,46.00,50.00,58.00,0.00,0.00,0.00,0.00,66.00,66.00,0.00,0.00
5,0.00,0.00,0.00,0.00,31.00,4.00,45.00,29.00,0.00,0.00,0.00,0.00,66.00,67.00,0.00,0.00
6,0.00,0.00,0.00,0.00,11.00,7.00,22.00,0.00,0.00,0.00,0.00,0.00,40.00,37.00,0.00,31.00
