interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.00,0.00,0.00,0.00,0.04,0.05,0.02,0.13,0.00,0.00,0.00,0.00,0.46,0.97,0.15,0.00
1,0.00,0.00,0.00,0.00,0.00,1.04,0.00,0.98,0.00,0.00,0.00,0.00,0.63,1.52,0.33,0.00
2,0.00,0.00,0.00,0.00,0.00,0.56,0.00,0.47,0.00,0.00,0.00,0.00,0.27,0.52,0.01,0.02
3,0.00,0.00,0.00,0.00,0.08,0.15,0.28,0.17,0.00,0.00,0.00,0.00,0.57,1.72,0.36,0.00
4,0.00,0.00,0.00,0.00,0.32,0.83,0.46,0.87,0.00,0.00,0.00,0.00,0.85,1.47,0.00,0.00
5,0.00,0.00,0.00,0.00,0.28,0.01,0.61,0.10,0.00,0.00,0.00,0.00,1.43,1.73,0.00,0.00
6,0.00,0.00,0.00,0.00,0.22,0.08,0.53,0.02,0.00,0.00,0.00,0.00,1.64,1.20,0.00,0.36
