interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.00,8.70,10.07,9.94,21.38,19.41,33.88,75.74,13.31,0.00,9.79,8.35,167.57,335.96,73.59,8.13
1,0.00,13.41,8.52,13.69,5.40,355.19,28.94,371.88,11.66,0.00,14.30,9.76,236.86,509.91,142.50,19.28
2,0.00,16.13,16.74,2.85,0.00,186.18,19.53,169.56,19.14,0.00,14.51,7.18,98.01,195.56,12.47,22.83
3,0.00,8.19,11.10,8.15,49.40,68.39,140.43,106.29,8.22,0.00,7.80,7.65,192.68,568.17,140.12,7.70
4,0.00,11.73,7.90,14.63,109.85,282.98,185.97,318.02,18.12,0.00,8.80,5.59,303.08,499.10,5.54,11.70
5,0.00,6.49,19.62,19.53,128.10,10.04,241.00,54.82,13.33,0.00,5.49,4.73,474.25,569.51,10.01,12.71
6,0.00,1.01,2.24,1.46,28.58,8.41,69.94,15.77,6.05,0.00,1.93,1.05,154.49,117.46,3.25,36.20
