interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.00,0.00,0.00,0.00,6.35,5.00,7.00,10.00,0.00,0.00,0.00,0.00,10.00,10.00,7.00,0.00
1,0.00,0.00,0.00,0.00,0.00,10.00,6.40,10.00,0.00,0.00,0.00,0.00,10.00,10.00,9.24,0.00
2,0.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00,0.00,0.00,10.00,10.00,1.63,3.76
3,0.00,0.00,0.00,0.00,7.00,10.00,10.00,10.00,0.00,0.00,0.00,0.00,10.00,10.00,9.14,0.00
4,0.00,0.00,0.00,0.00,6.89,10.00,10.00,10.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00,0.00
5,0.00,0.00,0.00,0.00,10.00,5.00,10.00,3.65,0.00,0.00,0.00,0.00,10.00,10.00,0.00,0.00
6,0.00,0.00,0.00,0.00,7.00,1.73,10.00,3.72,0.00,0.00,0.00,0.00,10.00,10.00,0.00,3.27
