interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00
1,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00
2,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00
3,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00
4,1500.00,1500.00,1500.00,1500.00,1500.00,1500.00,1500.00,1500.00,1500.00,1500.00,1500.00,1500.00,1500.00,1500.00,1500.00,1500.00
5,1800.00,1800.00,1800.00,1800.00,1800.00,1800.00,1800.00,1800.00,1800.00,1800.00,1800.00,1800.00,1800.00,1800.00,1800.00,1800.00
6,1883.00,1883.00,1883.00,1883.00,1883.00,1883.00,1883.00,1883.00,1883.00,1883.00,1883.00,1883.00,1883.00,1883.00,1883.00,1883.00
