interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.00,0.00,0.00,0.00,0.26,0.07,0.11,0.54,0.00,0.00,0.00,0.00,2.06,4.68,1.00,0.00
1,0.00,0.00,0.00,0.00,0.00,4.16,0.02,4.57,0.00,0.00,0.00,0.00,2.54,7.24,1.44,0.00
2,0.00,0.00,0.00,0.00,0.00,2.56,0.00,2.53,0.00,0.00,0.00,0.00,0.56,2.59,0.02,0.05
3,0.00,0.00,0.00,0.00,0.34,0.41,1.16,0.47,0.00,0.00,0.00,0.00,2.84,8.35,1.18,0.00
4,0.00,0.00,0.00,0.00,1.35,3.52,1.73,3.39,0.00,0.00,0.00,0.00,4.07,7.55,0.00,0.00
5,0.00,0.00,0.00,0.00,1.39,0.05,3.32,0.35,0.00,0.00,0.00,0.00,7.20,8.65,0.00,0.00
6,0.00,0.00,0.00,0.00,1.37,0.10,2.82,0.06,0.00,0.00,0.00,0.00,7.32,6.84,0.00,1.11
