interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.00,0.00,0.00,0.00,5.33,2.00,4.00,16.00,0.00,0.00,0.00,0.00,35.75,49.50,15.67,0.00
1,0.00,0.00,0.00,0.00,1.00,16.33,0.00,29.20,0.00,0.00,0.00,0.00,25.17,57.00,14.60,0.00
2,0.00,0.00,0.00,0.00,0.00,42.50,0.00,29.00,0.00,0.00,0.00,0.00,18.50,30.60,4.00,6.00
3,0.00,0.00,0.00,0.00,4.43,5.62,11.20,9.25,0.00,0.00,0.00,0.00,38.75,52.00,43.50,0.00
4,0.00,0.00,0.00,0.00,25.25,17.00,22.83,37.28,0.00,0.00,0.00,0.00,43.67,40.91,0.00,0.00
5,0.00,0.00,0.00,0.00,7.83,2.50,25.43,29.00,0.00,0.00,0.00,0.00,48.00,52.80,0.00,0.00
6,0.00,0.00,0.00,0.00,5.25,7.00,11.25,0.00,0.00,0.00,0.00,0.00,34.50,33.67,0.00,31.00
