interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.00,0.00,0.00,0.00,16.00,4.00,4.00,16.00,0.00,0.00,0.00,0.00,143.00,297.00,47.00,0.00
1,0.00,0.00,0.00,0.00,2.00,147.00,0.00,292.00,0.00,0.00,0.00,0.00,151.00,399.00,73.00,0.00
2,0.00,0.00,0.00,0.00,0.00,85.00,0.00,87.00,0.00,0.00,0.00,0.00,37.00,153.00,4.00,6.00
3,0.00,0.00,0.00,0.00,31.00,45.00,56.00,37.00,0.00,0.00,0.00,0.00,155.00,468.00,87.00,0.00
4,0.00,0.00,0.00,0.00,101.00,136.00,137.00,261.00,0.00,0.00,0.00,0.00,262.00,450.00,0.00,0.00
5,0.00,0.00,0.00,0.00,94.00,5.00,178.00,29.00,0.00,0.00,0.00,0.00,384.00,528.00,0.00,0.00
6,0.00,0.00,0.00,0.00,21.00,7.00,45.00,0.00,0.00,0.00,0.00,0.00,138.00,101.00,0.00,31.00
